timestamp,source_platform,env_domain,env_subgenre,thread_id,text,model_label,model_confidence,latency_ms
2026-09-25 13:05:44,YouTube,News,Live news,7F8J_XE3zzU,just to get rich,Normal,0.9501,198.67
2026-09-25 13:05:44,YouTube,News,Live news,7F8J_XE3zzU,I mistyped because I have BIG hands lol,Normal,0.9452,18.51
2026-09-25 13:05:45,YouTube,Psychology,Personality theory,Dt2pH5HBsIU,Hola,Normal,0.9403,10.49
2026-09-25 13:05:45,YouTube,Self-Help,Motivational talk,IYGas8wJAuI,I'm on a plane,Normal,0.9685,9.62
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,FIRST,Normal,0.9588,7.01
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,Hellyeah,OFFENSIVE,0.5445,7.03
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,Let’s rideee,Normal,0.9157,8.00
2026-09-25 13:05:45,YouTube,News,Live news,7F8J_XE3zzU,so the best thing is the worst? hmm:cat-orange-whistling:,Normal,0.9439,8.00
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,Yo,Normal,0.8636,8.03
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,LETS GO!!!,Normal,0.9297,6.97
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,Bangaaaaaaa Bungus Bussss :bus:,Normal,0.8199,8.07
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,:collision::collision:LETSSSS RIDEEEEE1:collision::collision:,OFFENSIVE,0.6827,9.45
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,sing please,Normal,0.9532,9.61
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,:thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up:,Normal,0.9557,9.73
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,why are you all so early?,Normal,0.9029,8.97
2026-09-25 13:05:45,YouTube,Gaming,Survival,f_F-evhr-Z0,The grind is real,Normal,0.7288,8.00
